Version,Version_Season,Season,Full_Name,Castaway_Id,Order,Result,Jury_Status,Place,Jury,Finalist,Winner,Season_Castaway_Id,Finale_Categorization,Era
US,US47,47,Sue Smey,US0712,16.0,2nd runner-up,nan,3,False,True,False,US47US0712,Finalist,New Era
US,US47,47,Teeny Chirichillo,US0713,15.0,Eliminated,8th jury member,4,True,False,False,US47US0713,Jury,New Era
US,US47,47,Tiyana Hallums,US0714,7.0,7th voted out,nan,12,False,False,False,US47US0714,Voted out pre-jury,New Era
US,US47,47,TK Foster,US0715,2.0,2nd voted out,nan,17,False,False,False,US47US0715,Voted out pre-jury,New Era
US,US48,48,Bianca Roses,US0716,5.0,5th voted out,nan,14,False,False,False,US48US0716,Voted out pre-jury,New Era
US,US48,48,Cedrek McFadden,US0717,8.0,8th voted out,1st jury member,11,True,False,False,US48US0717,Jury,New Era
US,US48,48,Charity Nelms,US0718,6.0,6th voted out,nan,13,False,False,False,US48US0718,Voted out pre-jury,New Era
US,US48,48,Chrissy Sarnowsky,US0719,9.0,9th voted out,2nd jury member,10,True,False,False,US48US0719,Jury,New Era
US,US48,48,David Kinne,US0720,10.0,10th voted out,3rd jury member,9,True,False,False,US48US0720,Jury,New Era
US,US48,48,Eva Erickson,US0721,17.0,Runner-up,nan,2,False,True,False,US48US0721,Finalist,New Era
US,US48,48,Joe Hunter,US0722,16.0,2nd runner-up,nan,3,False,True,False,US48US0722,Finalist,New Era
US,US50,50,Joe Hunter,US0722,,nan,nan,5,False,True,True,US50US0722,Winner,New Era
US,US48,48,Justin Pioppi,US0723,3.0,3rd voted out,nan,16,False,False,False,US48US0723,Voted out pre-jury,New Era
US,US48,48,Kamilla Karthigesu,US0724,15.0,Eliminated,8th jury member,4,True,False,False,US48US0724,Jury,New Era
US,US50,50,Kamilla Karthigesu,US0724,,nan,nan,4,False,True,True,US50US0724,Winner,New Era
US,US48,48,Kevin Leung,US0725,2.0,2nd voted out,nan,17,False,False,False,US48US0725,Voted out pre-jury,New Era
US,US48,48,Kyle Fraser,US0726,18.0,Sole Survivor,nan,1,False,True,True,US48US0726,Winner,New Era
US,US50,50,Kyle Fraser,US0726,,nan,nan,3,False,True,True,US50US0726,Winner,New Era
US,US48,48,Mary Zheng,US0727,12.0,12th voted out,5th jury member,7,True,False,False,US48US0727,Jury,New Era
US,US48,48,Mitch Guerra,US0728,14.0,14th voted out,7th jury member,5,True,False,False,US48US0728,Jury,New Era
US,US48,48,Sai Hughley,US0729,7.0,7th voted out,nan,12,False,False,False,US48US0729,Voted out pre-jury,New Era
US,US48,48,Shauhin Davari,US0730,13.0,13th voted out,6th jury member,6,True,False,False,US48US0730,Jury,New Era
US,US48,48,Star Toomey,US0731,11.0,11th voted out,4th jury member,8,True,False,False,US48US0731,Jury,New Era
US,US48,48,Stephanie Berger,US0732,1.0,1st voted out,nan,18,False,False,False,US48US0732,Voted out pre-jury,New Era
US,US48,48,Thomas Krottinger,US0733,4.0,4th voted out,nan,15,False,False,False,US48US0733,Voted out pre-jury,New Era
US,US49,49,TBD1,US0734,,nan,nan,18,False,True,True,US49US0734,Winner,New Era
US,US50,50,TBD1,US0734,,nan,nan,2,False,True,True,US50US0734,Winner,New Era
US,US49,49,TBD2,US0735,,nan,nan,17,False,True,True,US49US0735,Winner,New Era
US,US50,50,TBD2,US0735,,nan,nan,1,False,True,True,US50US0735,Winner,New Era
US,US49,49,TBD3,US0736,,nan,nan,16,False,True,True,US49US0736,Winner,New Era
US,US49,49,TBD4,US0737,,nan,nan,15,False,True,True,US49US0737,Winner,New Era
US,US49,49,TBD5,US0738,,nan,nan,14,False,True,True,US49US0738,Winner,New Era
US,US49,49,TBD6,US0739,,nan,nan,13,False,True,True,US49US0739,Winner,New Era
US,US49,49,TBD7,US0740,,nan,nan,12,False,True,True,US49US0740,Winner,New Era
US,US49,49,TBD8,US0741,,nan,nan,11,False,True,True,US49US0741,Winner,New Era
US,US49,49,TBD9,US0742,,nan,nan,10,False,True,True,US49US0742,Winner,New Era
US,US49,49,TBD10,US0743,,nan,nan,9,False,True,True,US49US0743,Winner,New Era
US,US49,49,TBD11,US0744,,nan,nan,8,False,True,True,US49US0744,Winner,New Era
US,US49,49,TBD12,US0745,,nan,nan,7,False,True,True,US49US0745,Winner,New Era
US,US49,49,TBD13,US0746,,nan,nan,6,False,True,True,US49US0746,Winner,New Era
US,US49,49,TBD14,US0747,,nan,nan,5,False,True,True,US49US0747,Winner,New Era
US,US49,49,TBD15,US0748,,nan,nan,4,False,True,True,US49US0748,Winner,New Era
US,US49,49,TBD16,US0749,,nan,nan,3,False,True,True,US49US0749,Winner,New Era
US,US49,49,TBD17,US0750,,nan,nan,2,False,True,True,US49US0750,Winner,New Era
US,US49,49,TBD18,US0751,,nan,nan,1,False,True,True,US49US0751,Winner,New Era
